observation_date,CORESTICKM159SFRBATL
1990-01-01,4.905908309
1990-02-01,4.917559230
1990-03-01,5.191524750
1990-04-01,5.276985365
1990-05-01,5.166732439
1990-06-01,5.370697673
1990-07-01,5.516605952
1990-08-01,5.836270781
1990-09-01,5.930360317
1990-10-01,5.798506168
1990-11-01,5.683108196
1990-12-01,5.651092078
1991-01-01,5.815290409
1991-02-01,5.862358800
1991-03-01,5.474284579
1991-04-01,5.276160434
1991-05-01,5.222445891
1991-06-01,4.934653949
1991-07-01,4.713410392
1991-08-01,4.393094508
1991-09-01,4.443594793
1991-10-01,4.288991989
1991-11-01,4.349677570
1991-12-01,4.346967664
1992-01-01,4.052308746
1992-02-01,3.861765064
1992-03-01,3.975844252
1992-04-01,4.066438773
1992-05-01,3.926410529
1992-06-01,3.860188559
1992-07-01,3.769367667
1992-08-01,3.628120085
1992-09-01,3.349237754
1992-10-01,3.635914600
1992-11-01,3.629469745
1992-12-01,3.478262556
1993-01-01,3.528455109
1993-02-01,3.561853788
1993-03-01,3.334428143
1993-04-01,3.404237829
1993-05-01,3.532736691
1993-06-01,3.569326945
1993-07-01,3.422616714
1993-08-01,3.508810757
1993-09-01,3.642383692
1993-10-01,3.424737275
1993-11-01,3.436277096
1993-12-01,3.548475916
1994-01-01,3.375759896
1994-02-01,3.415920384
1994-03-01,3.570150943
1994-04-01,3.354397547
1994-05-01,3.225532887
1994-06-01,3.194738495
1994-07-01,3.233880147
1994-08-01,3.306714086
1994-09-01,3.254281644
1994-10-01,3.164264289
1994-11-01,3.128282179
1994-12-01,2.901446577
1995-01-01,3.144200833
1995-02-01,3.124100115
1995-03-01,3.167481169
1995-04-01,3.306684647
1995-05-01,3.355294523
1995-06-01,3.332283478
1995-07-01,3.386948974
1995-08-01,3.238141090
1995-09-01,3.351697522
1995-10-01,3.464116060
1995-11-01,3.379960650
1995-12-01,3.379829487
1996-01-01,3.277075064
1996-02-01,3.259936249
1996-03-01,3.134500987
1996-04-01,3.004778103
1996-05-01,3.047772222
1996-06-01,3.051784638
1996-07-01,3.087421545
1996-08-01,3.083473301
1996-09-01,3.063090207
1996-10-01,2.943741816
1996-11-01,2.980390413
1996-12-01,3.056421970
1997-01-01,2.912415150
1997-02-01,2.802464903
1997-03-01,2.854608076
1997-04-01,2.910920374
1997-05-01,2.870203143
1997-06-01,2.828445596
1997-07-01,2.752239262
1997-08-01,2.653670773
1997-09-01,2.544804261
1997-10-01,2.618900715
1997-11-01,2.548580799
1997-12-01,2.621535622
1998-01-01,2.673178027
1998-02-01,2.691552555
1998-03-01,2.672304266
1998-04-01,2.640497846
1998-05-01,2.611332031
1998-06-01,2.600204475
1998-07-01,2.603335947
1998-08-01,2.633982138
1998-09-01,2.594217982
1998-10-01,2.535056337
1998-11-01,2.523581703
1998-12-01,2.437823000
1999-01-01,2.383116000
1999-02-01,2.316234000
1999-03-01,2.237507000
1999-04-01,2.226592000
1999-05-01,2.153318000
1999-06-01,2.070264000
1999-07-01,2.111144000
1999-08-01,2.094839000
1999-09-01,2.070746000
1999-10-01,2.049620000
1999-11-01,2.147821000
1999-12-01,2.167848000
2000-01-01,2.335519000
2000-02-01,2.379221000
2000-03-01,2.483286000
2000-04-01,2.409239000
2000-05-01,2.558647000
2000-06-01,2.701492000
2000-07-01,2.712970000
2000-08-01,2.874818000
2000-09-01,2.897082000
2000-10-01,2.919941000
2000-11-01,2.870145000
2000-12-01,2.972089000
2001-01-01,2.878468000
2001-02-01,2.979742000
2001-03-01,2.961886000
2001-04-01,3.091112000
2001-05-01,3.074010000
2001-06-01,3.200619000
2001-07-01,3.207811000
2001-08-01,3.251713000
2001-09-01,3.388746000
2001-10-01,3.484066000
2001-11-01,3.601999000
2001-12-01,3.564920000
2002-01-01,3.557463000
2002-02-01,3.527436000
2002-03-01,3.468480000
2002-04-01,3.465822000
2002-05-01,3.452132000
2002-06-01,3.241692000
2002-07-01,3.263706000
2002-08-01,3.146595000
2002-09-01,3.026606000
2002-10-01,2.937194000
2002-11-01,2.824322000
2002-12-01,2.792164000
2003-01-01,2.778159000
2003-02-01,2.695620000
2003-03-01,2.619135000
2003-04-01,2.450573000
2003-05-01,2.338588000
2003-06-01,2.261697000
2003-07-01,2.228217000
2003-08-01,2.155287000
2003-09-01,2.174311000
2003-10-01,2.150681000
2003-11-01,2.025956000
2003-12-01,1.967767000
2004-01-01,1.949813000
2004-02-01,2.037157000
2004-03-01,2.126567000
